90 Release D. 0 | is with | Software Revis ion D. 00
Mainstream CO2 Humidity Correction Factor | can | can selected as humidity correction factor for Mainstream CO2 readings
PH2O | = | 47 mmHg
PH2O | = | 47 mmHg @ 37 ° C
values | For mmHg is | ± 0.29 kPa
accuracy | reaches at | minimum
7 day period awRR Range 0 | is with | CO2 transducer attached for full accuracy specification Response Time
Spirometry following specifications | apply | room air at 35 °
Spirometry following specifications | apply | room air
Spirometry specifications | apply | room air
Spirometry specifications | apply | room air at 35 °
3 % | is in | USA Range
5 200 mmHg | Range | 0.7 26.7 kPa
Available Temperatures | C in | steps of 0.5 ° C tcGas Alarm Specifications Range Adjustment Alarm Delay tcpO2 10 to 745 mmHg 1.0 to 99.5 kPa 10 30 mmHg
site time | is | when expired
41.0 45 ° C | is in | steps of 0.5 ° C tcGas Alarm Specifications Range Adjustment Alarm Delay tcpO2 10 to 745 mmHg 1.0 to 99.5 kPa 10 30 mmHg
site time | is | expired
± 250µV | is With | gridlines
25µV | 250µV With | gridlines
defibrillation | Against Protection is | BISx M1034A
100Hz High Pass Filters 0.25 Hz | Filters for | line frequency
BISx M1034A | board for | MP20/30 Bispectral Index
Electromagnetic Compatibility Specifications | Take | precautions
Electromagnetic Compatibility Specifications | Take | special precautions
You | must operate according to | EMC information provided
You | must operate according to | EMC information
You | must operate | your monitoring equipment
radio frequency communications equipment | can affect | medical equipment
radio frequency communications equipment | can affect | equipment
Portable radio frequency communications equipment | can affect | medical equipment
Portable radio frequency communications equipment | can affect | equipment
radio frequency communications equipment | can affect | electrical equipment
Portable radio frequency communications equipment | can affect | medical electrical equipment
Portable radio frequency communications equipment | can affect | electrical equipment
radio frequency communications equipment | can affect | medical electrical equipment
WARNING | Using | accessories other
WARNING | may result in | emission
WARNING | may result in | increased emission
WARNING | may result in | electromagnetic emission
WARNING | Using | accessories other than those
WARNING | may result in | increased electromagnetic emission
WARNING | Using | accessories
WARNING | Using | accessories other than those specified
accessories | other than | those
accessories | other than | those specified
Emissions monitor | is suitable for | use in environment specified in table below
Electromagnetic Emissions monitor | is | suitable
Emissions monitor | is suitable for | use in environment specified in table
Electromagnetic Emissions monitor | is suitable for | use in electromagnetic environment specified
use | is in | electromagnetic environment specified
Electromagnetic Emissions monitor | is suitable for | use in environment specified
Electromagnetic Emissions monitor | is suitable for | use in environment specified in table below
Emissions monitor | is suitable for | use
Electromagnetic Emissions monitor | is suitable for | use in electromagnetic environment specified in table below
Electromagnetic Emissions monitor | is suitable for | use
Emissions monitor | is suitable for | use in electromagnetic environment
Emissions monitor | is suitable for | use in electromagnetic environment specified in table below
Electromagnetic Emissions monitor | is suitable for | use in environment
Emissions monitor | is suitable for | use in electromagnetic environment specified in table
Emissions monitor | is suitable for | use in environment
Emissions monitor | is suitable for | use in electromagnetic environment specified
Electromagnetic Emissions monitor | is suitable for | use in electromagnetic environment specified in table
Emissions monitor | is suitable for | use in environment specified
Electromagnetic Emissions monitor | is suitable for | use in environment specified in table
Electromagnetic Emissions monitor | is suitable for | use in electromagnetic environment
Emissions monitor | is | suitable
it | is | used
it environment | Avoiding | Electromagnetic Interference
it | is used in | environment
it such environment | Avoiding | Electromagnetic Interference
it | is used in | such environment
Electromagnetic fields | is with | field strengths above 1 V/m
Electromagnetic fields | may cause | erroneous measurements
fields | may cause | erroneous measurements
you | using equipment in | close proximity
you | using | radiating equipment
you | using | equipment
you | using | electrically radiating equipment
you | using equipment in | proximity
operation | is possible in | configuration
you | must stack | monitor
operation | is | possible
normal operation | is possible in | configuration
operation | is possible in | necessary configuration
normal operation | is | possible
normal operation | is possible in | necessary configuration
you | monitoring | patients
monitor | uses RF energy for | its internal function
monitor | uses RF energy for | only its function
1 monitor | uses RF energy for | its function
monitor | uses | RF energy
1 monitor | uses | RF energy
1 monitor | uses RF energy for | only its function
monitor | uses RF energy for | only its internal function
monitor | uses RF energy for | its function
1 monitor | uses RF energy for | its internal function
1 monitor | uses RF energy for | only its internal function
Harmonic emissions | is | for domestic purposes suitable for use in electromagnetic environment
emissions | is | suitable
emissions | is suitable for | use in specified environment
Harmonic emissions | is | for purposes suitable for use in specified environment
Harmonic emissions | is suitable for | use in specified environment
use | is in | specified electromagnetic environment
emissions | is suitable for | use
Harmonic emissions | is | for domestic purposes suitable for use in environment
emissions | is | for domestic purposes suitable for use in specified environment
emissions | is | for domestic purposes suitable for use
emissions | is | for purposes suitable for use in electromagnetic environment
emissions | is | for domestic purposes suitable for use in specified electromagnetic environment
emissions | is suitable for | use in specified electromagnetic environment
emissions | is | for domestic purposes suitable for use in environment
Harmonic emissions | is suitable for | domestic purposes
Harmonic emissions | is | for purposes suitable for use in specified electromagnetic environment
Harmonic emissions | is | for purposes suitable for use in environment
Harmonic emissions | is suitable for | use in specified electromagnetic environment
Harmonic emissions | is suitable for | purposes
emissions | is | for domestic purposes suitable for use in electromagnetic environment
emissions | is | for purposes suitable for use in specified electromagnetic environment
emissions | is suitable for | use in electromagnetic environment
Harmonic emissions | is suitable for | use in electromagnetic environment
Harmonic emissions | is | for domestic purposes suitable for use
Harmonic emissions | is suitable for | use
emissions | is | for purposes suitable for use
emissions | is suitable for | use in environment
Harmonic emissions | is | for domestic purposes suitable for use in specified electromagnetic environment
Harmonic emissions | is | for purposes suitable for use in electromagnetic environment
emissions | is | for purposes suitable for use in environment
emissions | is suitable for | domestic purposes
Harmonic emissions | is | for purposes suitable for use
emissions | is | for purposes suitable for use in specified environment
Harmonic emissions | is | for domestic purposes suitable for use in specified environment
use | is in | establishments other than domestic
Harmonic emissions | is suitable for | use in environment
Harmonic emissions | is | suitable
emissions | is suitable for | purposes
interference | is in | nearby electronic equipment RF emissions CISPR 11 Class A The monitor
it | is | used
it | is used in | environment
it | is used in | appropriate environment
UT | is | a.c. mains voltage prior
UT | is | a.c. mains voltage prior to application
a.c. mains voltage | is In | table
UT | is | a.c. mains voltage prior to application of test level
UT | is | a.c. mains voltage
Recommended Separation Distance WARNING monitor | receives | RF electromagnetic energy
Separation Distance WARNING monitor | intentionally receives RF energy for | purpose of its operation
Recommended Separation Distance WARNING monitor | intentionally receives | RF electromagnetic energy
Separation Distance WARNING monitor | receives RF energy for | purpose
Separation Distance WARNING monitor | intentionally receives | RF energy
Separation Distance WARNING monitor | receives | RF electromagnetic energy
Recommended Separation Distance WARNING monitor | intentionally receives RF energy for | purpose
Recommended Separation Distance WARNING monitor | receives RF energy for | purpose of its operation
Recommended Separation Distance WARNING monitor | receives | RF energy
